,Steven Laczko,Financial Analyst,Finance,$34.00 ,39,$1326.00,$0.00,$132.60,$66.30,$50.00,$39.78,$288.68,$1037.32,,,,,,,,,,,,,,,,,,,
,Andrew Wiedman,Marketing Manager,Marketing,$36.00 ,49,$1926.00,$486.00,$192.60,$96.30,$50.00,$57.78,$396.68,$1529.32,,,,,,,,,,,,,,,,,,,
,Coby Ziv,Project Manager,Marketing,$59.00 ,43,$2625.50,$265.50,$262.55,$131.28,$50.00,$78.77,$522.60,$2102.90,,,,,,,,,,,,,,,,,,,
,Alexander Bisant,Systems Analyst,Information Technology (IT),$46.00 ,39,$1794.00,$0.00,$179.40,$89.70,$50.00,$53.82,$372.92,$1421.08,,,,,,,,,,,,,,,,,,,
,Andrea Richardson,Human Resources (HR) Specialist,Human Resources (HR),$48.00 ,38,$1824.00,$0.00,$182.40,$91.20,$50.00,$54.72,$378.32,$1445.68,,,,,,,,,,,,,,,,,,,
,Usmaan Aziz,Software Engineer,Information Technology (IT),$44.00 ,38,$1672.00,$0.00,$167.20,$83.60,$50.00,$50.16,$350.96,$1321.04,,,,,,,,,,,,,,,,,,,
,Matthew Wilson,Software Engineer,Information Technology (IT),$33.00 ,43,$1468.50,$148.50,$146.85,$73.43,$50.00,$44.06,$314.34,$1154.16,,,,,,,,,,,,,,,,,,,
,Robert Joyce,Systems Analyst,Information Technology (IT),$39.00 ,43,$1735.50,$175.50,$173.55,$86.78,$50.00,$52.07,$362.40,$1373.10,,,,,,,,,,,,,,,,,,,
,Kadijah Ward,Project Manager,Marketing,$47.00 ,48,$2444.00,$564.00,$244.40,$122.20,$50.00,$73.32,$489.92,$1954.08,,,,,,,,,,,,,,,,,,,
,Kyle Gilman,Data Analyst,Information Technology (IT),$42.00 ,48,$2184.00,$504.00,$218.40,$109.20,$50.00,$65.52,$443.12,$1740.88,,,,,,,,,,,,,,,,,,,
,Quang Dang,Human Resources (HR) Specialist,Human Resources (HR),$41.00 ,46,$2009.00,$369.00,$200.90,$100.45,$50.00,$60.27,$411.62,$1597.38,,,,,,,,,,,,,,,,,,,
,Sarah Escoto,Human Resources (HR) Specialist,Human Resources (HR),$50.00 ,49,$2675.00,$675.00,$267.50,$133.75,$50.00,$80.25,$531.50,$2143.50,,,,,,,,,,,,,,,,,,,
,Bilal Ahmed,Software Engineer,Information Technology (IT),$35.00 ,42,$1505.00,$105.00,$150.50,$75.25,$50.00,$45.15,$320.90,$1184.10,,,,,,,,,,,,,,,,,,,
,Khyzer Khan,Data Analyst,Information Technology (IT),$38.00 ,35,$1330.00,$0.00,$133.00,$66.50,$50.00,$39.90,$289.40,$1040.60,,,,,,,,,,,,,,,,,,,
,Devon Slonaker,Marketing Manager,Marketing,$51.00 ,38,$1938.00,$0.00,$193.80,$96.90,$50.00,$58.14,$398.84,$1539.16,,,,,,,,,,,,,,,,,,,
,Tunji Ogiefo,Data Analyst,Information Technology (IT),$56.00 ,43,$2492.00,$252.00,$249.20,$124.60,$50.00,$74.76,$498.56,$1993.44,,,,,,,,,,,,,,,,,,,
,Lila Pipersburgh,Marketing Manager,Marketing,$29.00 ,42,$1247.00,$87.00,$124.70,$62.35,$50.00,$37.41,$274.46,$972.54,,,,,,,,,,,,,,,,,,,
,Jeffrey Yang,Software Engineer,Information Technology (IT),$28.00 ,42,$1204.00,$84.00,$120.40,$60.20,$50.00,$36.12,$266.72,$937.28,,,,,,,,,,,,,,,,,,,
,Chris Pastors,Data Analyst,Information Technology (IT),$37.00 ,48,$1924.00,$444.00,$192.40,$96.20,$50.00,$57.72,$396.32,$1527.68,,,,,,,,,,,,,,,,,,,
,Alec Beckleman,Systems Analyst,Information Technology (IT),$44.00 ,45,$2090.00,$330.00,$209.00,$104.50,$50.00,$62.70,$426.20,$1663.80,,,,,,,,,,,,,,,,,,,
,Bryan Nguyen,Financial Analyst,Finance,$26.00 ,36,$936.00,$0.00,$93.60,$46.80,$50.00,$28.08,$218.48,$717.52,,,,,,,,,,,,,,,,,,,
,Christina Wilson,Software Engineer,Information Technology (IT),$59.00 ,43,$2625.50,$265.50,$262.55,$131.28,$50.00,$78.77,$522.60,$2102.90,,,,,,,,,,,,,,,,,,,
,Thomas Nguyen,Financial Analyst,Finance,$36.00 ,39,$1404.00,$0.00,$140.40,$70.20,$50.00,$42.12,$302.72,$1101.28,,,,,,,,,,,,,,,,,,,
,Joseph Rooney,Marketing Manager,Marketing,$33.00 ,42,$1419.00,$99.00,$141.90,$70.95,$50.00,$42.57,$305.42,$1113.58,,,,,,,,,,,,,,,,,,,
,Khadijah Harvin,Human Resources (HR) Specialist,Human Resources (HR),$30.00 ,35,$1050.00,$0.00,$105.00,$52.50,$50.00,$31.50,$239.00,$811.00,,,,,,,,,,,,,,,,,,,
,Deval Patel,Software Engineer,Information Technology (IT),$28.00 ,46,$1372.00,$252.00,$137.20,$68.60,$50.00,$41.16,$296.96,$1075.04,,,,,,,,,,,,,,,,,,,
,Samit Shivadekar,Project Manager,Marketing,$59.00 ,47,$2979.50,$619.50,$297.95,$148.98,$50.00,$89.39,$586.32,$2393.18,,,,,,,,,,,,,,,,,,,
,Faith Madeoy Gault,Financial Analyst,Finance,$34.00 ,39,$1326.00,$0.00,$132.60,$66.30,$50.00,$39.78,$288.68,$1037.32,,,,,,,,,,,,,,,,,,,
,Rob Shovan,Software Engineer,Information Technology (IT),$44.00 ,44,$2024.00,$264.00,$202.40,$101.20,$50.00,$60.72,$414.32,$1609.68,,,,,,,,,,,,,,,,,,,
,Marcella Wilson,Data Analyst,Information Technology (IT),$41.00 ,35,$1435.00,$0.00,$143.50,$71.75,$50.00,$43.05,$308.30,$1126.70,,,,,,,,,,,,,,,,,,,
,Jaynee Thanki,Financial Analyst,Finance,$28.00 ,45,$1330.00,$210.00,$133.00,$66.50,$50.00,$39.90,$289.40,$1040.60,,,,,,,,,,,,,,,,,,,
,Travis Tait,Marketing Manager,Marketing,$37.00 ,49,$1979.50,$499.50,$197.95,$98.98,$50.00,$59.39,$406.32,$1573.18,,,,,,,,,,,,,,,,,,,
,Hasnain Ali,Financial Analyst,Finance,$41.00 ,41,$1701.50,$61.50,$170.15,$85.08,$50.00,$51.05,$356.28,$1345.22,,,,,,,,,,,,,,,,,,,
,Farukh Jilani,Financial Analyst,Finance,$54.00 ,47,$2727.00,$567.00,$272.70,$136.35,$50.00,$81.81,$540.86,$2186.14,,,,,,,,,,,,,,,,,,,
,Kiran Reddy,Human Resources (HR) Specialist,Human Resources (HR),$57.00 ,39,$2223.00,$0.00,$222.30,$111.15,$50.00,$66.69,$450.14,$1772.86,,,,,,,,,,,,,,,,,,,
,Adam Bargteil,Software Engineer,Information Technology (IT),$26.00 ,37,$962.00,$0.00,$96.20,$48.10,$50.00,$28.86,$223.16,$738.84,,,,,,,,,,,,,,,,,,,
,Paul Hogan,Data Analyst,Information Technology (IT),$43.00 ,39,$1677.00,$0.00,$167.70,$83.85,$50.00,$50.31,$351.86,$1325.14,,,,,,,,,,,,,,,,,,,
,Hasan Ali,Data Analyst,Information Technology (IT),$31.00 ,41,$1286.50,$46.50,$128.65,$64.33,$50.00,$38.60,$281.58,$1004.92,,,,,,,,,,,,,,,,,,,
,Christopher Noronha,Data Analyst,Information Technology (IT),$52.00 ,38,$1976.00,$0.00,$197.60,$98.80,$50.00,$59.28,$405.68,$1570.32,,,,,,,,,,,,,,,,,,,
,Scott Boyd,Software Engineer,Information Technology (IT),$55.00 ,45,$2612.50,$412.50,$261.25,$130.63,$50.00,$78.38,$520.26,$2092.24,,,,,,,,,,,,,,,,,,,
,Wendell Flowers,Project Manager,Marketing,$39.00 ,38,$1482.00,$0.00,$148.20,$74.10,$50.00,$44.46,$316.76,$1165.24,,,,,,,,,,,,,,,,,,,
,Sami Abuzeinah,Systems Analyst,Information Technology (IT),$30.00 ,42,$1290.00,$90.00,$129.00,$64.50,$50.00,$38.70,$282.20,$1007.80,,,,,,,,,,,,,,,,,,,
,Ivan Sekyonda,Financial Analyst,Finance,$26.00 ,43,$1157.00,$117.00,$115.70,$57.85,$50.00,$34.71,$258.26,$898.74,,,,,,,,,,,,,,,,,,,
,Edward Zieglar,Human Resources (HR) Specialist,Human Resources (HR),$59.00 ,48,$3068.00,$708.00,$306.80,$153.40,$50.00,$92.04,$602.24,$2465.76,,,,,,,,,,,,,,,,,,,
,Patricia Bocock,Financial Analyst,Finance,$38.00 ,48,$1976.00,$456.00,$197.60,$98.80,$50.00,$59.28,$405.68,$1570.32,,,,,,,,,,,,,,,,,,,
,Jennifer Rodriguez ,Project Manager,Marketing,$40.00 ,40,$1600.00,$0.00,$160.00,$80.00,$50.00,$48.00,$338.00,$1262.00,,,,,,,,,,,,,,,,,,,
,Greg Watlington,Systems Analyst,Information Technology (IT),$27.00 ,35,$945.00,$0.00,$94.50,$47.25,$50.00,$28.35,$220.10,$724.90,,,,,,,,,,,,,,,,,,,
,Mieka Jefferson,Project Manager,Marketing,$38.00 ,43,$1691.00,$171.00,$169.10,$84.55,$50.00,$50.73,$354.38,$1336.62,,,,,,,,,,,,,,,,,,,
,Stephanie Villalta,Software Engineer,Information Technology (IT),$26.00 ,40,$1040.00,$0.00,$104.00,$52.00,$50.00,$31.20,$237.20,$802.80,,,,,,,,,,,,,,,,,,,
,Ronak Patel,Software Engineer,Information Technology (IT),$33.00 ,46,$1617.00,$297.00,$161.70,$80.85,$50.00,$48.51,$341.06,$1275.94,,,,,,,,,,,,,,,,,,,
,Jeffrey Hughes,Systems Analyst,Information Technology (IT),$52.00 ,39,$2028.00,$0.00,$202.80,$101.40,$50.00,$60.84,$415.04,$1612.96,,,,,,,,,,,,,,,,,,,
,Shane McMahon,Marketing Manager,Marketing,$58.00 ,42,$2494.00,$174.00,$249.40,$124.70,$50.00,$74.82,$498.92,$1995.08,,,,,,,,,,,,,,,,,,,
,Kari Rea,Marketing Manager,Marketing,$51.00 ,47,$2575.50,$535.50,$257.55,$128.78,$50.00,$77.27,$513.60,$2061.90,,,,,,,,,,,,,,,,,,,
,Nihad Amimi,Human Resources (HR) Specialist,Human Resources (HR),$37.00 ,48,$1924.00,$444.00,$192.40,$96.20,$50.00,$57.72,$396.32,$1527.68,,,,,,,,,,,,,,,,,,,
,Jeanette Kartchner,Software Engineer,Finance,$42.00 ,45,$1995.00,$315.00,$199.50,$99.75,$50.00,$59.85,$409.10,$1585.90,,,,,,,,,,,,,,,,,,,
,Enis Golaszewski,Systems Analyst,Information Technology (IT),$37.00 ,45,$1757.50,$277.50,$175.75,$87.88,$50.00,$52.73,$366.36,$1391.14,,,,,,,,,,,,,,,,,,,
,Zeynec Kacar,Data Analyst,Information Technology (IT),$31.00 ,39,$1209.00,$0.00,$120.90,$60.45,$50.00,$36.27,$267.62,$941.38,,,,,,,,,,,,,,,,,,,
,Sharon Campbell,Project Manager,Marketing,$56.00 ,46,$2744.00,$504.00,$274.40,$137.20,$50.00,$82.32,$543.92,$2200.08,,,,,,,,,,,,,,,,,,,
,Ben Johnson,Project Manager,Marketing,$58.00 ,38,$2204.00,$0.00,$220.40,$110.20,$50.00,$66.12,$446.72,$1757.28,,,,,,,,,,,,,,,,,,,
,Gerald Tompkins,Software Engineer,Information Technology (IT),$46.00 ,38,$1748.00,$0.00,$174.80,$87.40,$50.00,$52.44,$364.64,$1383.36,,,,,,,,,,,,,,,,,,,
,Abhijit Dutt,Data Analyst,Information Technology (IT),$46.00 ,44,$2116.00,$276.00,$211.60,$105.80,$50.00,$63.48,$430.88,$1685.12,,,,,,,,,,,,,,,,,,,
,Naedjie Charles,Data Analyst,Information Technology (IT),$52.00 ,37,$1924.00,$0.00,$192.40,$96.20,$50.00,$57.72,$396.32,$1527.68,,,,,,,,,,,,,,,,,,,
,Jeremy Dixon,Data Analyst,Information Technology (IT),$43.00 ,40,$1720.00,$0.00,$172.00,$86.00,$50.00,$51.60,$359.60,$1360.40,,,,,,,,,,,,,,,,,,,
,Ben Shariati,Data Analyst,Information Technology (IT),$27.00 ,37,$999.00,$0.00,$99.90,$49.95,$50.00,$29.97,$229.82,$769.18,,,,,,,,,,,,,,,,,,,
,David Freet,Financial Analyst,Finance,$49.00 ,38,$1862.00,$0.00,$186.20,$93.10,$50.00,$55.86,$385.16,$1476.84,,,,,,,,,,,,,,,,,,,
,Nick Allgood ,Human Resources (HR) Specialist,Human Resources (HR),$60.00 ,49,$3210.00,$810.00,$321.00,$160.50,$50.00,$96.30,$627.80,$2582.20,,,,,,,,,,,,,,,,,,,
,Christopher Marron,Financial Analyst,Information Technology (IT),$34.00 ,40,$1360.00,$0.00,$136.00,$68.00,$50.00,$40.80,$294.80,$1065.20,,,,,,,,,,,,,,,,,,,
,Ben Johnson,Human Resources (HR) Specialist,Human Resources (HR),$49.00 ,45,$2327.50,$367.50,$232.75,$116.38,$50.00,$69.83,$468.96,$1858.54,,,,,,,,,,,,,,,,,,,
,Prasana Joeg,Project Manager,Marketing,$55.00 ,46,$2695.00,$495.00,$269.50,$134.75,$50.00,$80.85,$535.10,$2159.90,,,,,,,,,,,,,,,,,,,
,Richard Forno,Financial Analyst,Finance,$51.00 ,42,$2193.00,$153.00,$219.30,$109.65,$50.00,$65.79,$444.74,$1748.26,,,,,,,,,,,,,,,,,,,
,Ajinka Borle,Software Engineer,Information Technology (IT),$59.00 ,47,$2979.50,$619.50,$297.95,$148.98,$50.00,$89.39,$586.32,$2393.18,,,,,,,,,,,,,,,,,,,
,Maya Larson,Human Resources (HR) Specialist,Human Resources (HR),$44.00 ,47,$2222.00,$462.00,$222.20,$111.10,$50.00,$66.66,$449.96,$1772.04,,,,,,,,,,,,,,,,,,,
,Mohammed Donyaee,Financial Analyst,Finance,$32.00 ,37,$1184.00,$0.00,$118.40,$59.20,$50.00,$35.52,$263.12,$920.88,,,,,,,,,,,,,,,,,,,
,Masood Soroush,Marketing Manager,Marketing,$33.00 ,48,$1716.00,$396.00,$171.60,$85.80,$50.00,$51.48,$358.88,$1357.12,,,,,,,,,,,,,,,,,,,
,Edward Birrane,Systems Analyst,Information Technology (IT),$33.00 ,42,$1419.00,$99.00,$141.90,$70.95,$50.00,$42.57,$305.42,$1113.58,,,,,,,,,,,,,,,,,,,
,Le Shaen Caesar,Data Analyst,Information Technology (IT),$45.00 ,36,$1620.00,$0.00,$162.00,$81.00,$50.00,$48.60,$341.60,$1278.40,,,,,,,,,,,,,,,,,,,
,Youssef Mahmoud,Project Manager,Marketing,$41.00 ,41,$1701.50,$61.50,$170.15,$85.08,$50.00,$51.05,$356.28,$1345.22,,,,,,,,,,,,,,,,,,,
,Patrick Ferrell,Systems Analyst,Information Technology (IT),$59.00 ,45,$2802.50,$442.50,$280.25,$140.13,$50.00,$84.08,$554.46,$2248.04,,,,,,,,,,,,,,,,,,,
,Francois Kouo,Financial Analyst,Finance,$49.00 ,40,$1960.00,$0.00,$196.00,$98.00,$50.00,$58.80,$402.80,$1557.20,,,,,,,,,,,,,,,,,,,
,George Fon,Systems Analyst,Information Technology (IT),$28.00 ,35,$980.00,$0.00,$98.00,$49.00,$50.00,$29.40,$226.40,$753.60,,,,,,,,,,,,,,,,,,,
,Kevin Lewis,Human Resources (HR) Specialist,Information Technology (IT),$27.00 ,49,$1444.50,$364.50,$144.45,$72.23,$50.00,$43.34,$310.02,$1134.48,,,,,,,,,,,,,,,,,,,
,Andrea Morris,Systems Analyst,Information Technology (IT),$42.00 ,46,$2058.00,$378.00,$205.80,$102.90,$50.00,$61.74,$420.44,$1637.56,,,,,,,,,,,,,,,,,,,
,Clark Nguyen,Systems Analyst,Information Technology (IT),$36.00 ,35,$1260.00,$0.00,$126.00,$63.00,$50.00,$37.80,$276.80,$983.20,,,,,,,,,,,,,,,,,,,
,Jeffrey Holstine,Financial Analyst,Finance,$59.00 ,45,$2802.50,$442.50,$280.25,$140.13,$50.00,$84.08,$554.46,$2248.04,,,,,,,,,,,,,,,,,,,
,Elizabeth Sumner,Financial Analyst,Finance,$59.00 ,46,$2891.00,$531.00,$289.10,$144.55,$50.00,$86.73,$570.38,$2320.62,,,,,,,,,,,,,,,,,,,
,Earl Johnson,Systems Analyst,Information Technology (IT),$47.00 ,47,$2373.50,$493.50,$237.35,$118.68,$50.00,$71.21,$477.24,$1896.26,,,,,,,,,,,,,,,,,,,
